# source_id	kind	status	crystal_refs	notes
examples/enum_dispatch.rs::func::agent	func	missing	-	auto-generated
examples/enum_dispatch.rs::func::new	func	missing	-	auto-generated
examples/enum_dispatch.rs::method::ProviderRegistry.new	method	missing	-	auto-generated
examples/gemini_extractor.rs::struct::FooString	struct	missing	-	auto-generated
examples/multi_extract.rs::struct::Names	struct	missing	-	auto-generated
examples/multi_extract.rs::struct::Sentiment	struct	missing	-	auto-generated
examples/multi_extract.rs::struct::Topics	struct	missing	-	auto-generated
examples/rmcp.rs::func::new	func	missing	-	auto-generated
examples/rmcp.rs::method::Counter.new	method	missing	-	auto-generated
examples/rmcp.rs::struct::Counter	struct	missing	-	auto-generated
examples/rmcp.rs::struct::StructRequest	struct	missing	-	auto-generated
src/agent/builder.rs::func::additional_params	func	partial	src/crig/agent.cr:58-62,spec/crig_spec.cr:430-438	Agent-builder additional params merging is ported for completion-client construction flows; broader builder/tool behavior remains missing.
src/agent/builder.rs::func::append_preamble	func	partial	src/crig/agent.cr:69-72,spec/crig_spec.cr:432-445	Agent-builder preamble appending is ported with the same newline-join behavior as upstream.
src/agent/builder.rs::func::build	func	partial	src/crig/agent.cr:104-118,spec/crig_spec.cr:432-445,spec/crig_spec.cr:515-523	Minimal agent-builder build is ported for completion-client flows; tool-server/runtime integration remains missing.
src/agent/builder.rs::func::context	func	partial	src/crig/agent.cr:74-81,spec/crig_spec.cr:432-445	Static context document insertion is ported using `Completion::Request::Document` records with `static_doc_N` ids.
src/agent/builder.rs::func::default_max_turns	func	partial	src/crig/agent.cr:89-91,spec/crig_spec.cr:432-445	Default max-turns storage is ported on the lightweight Crystal agent builder.
src/agent/builder.rs::func::description	func	partial	src/crig/agent.cr:58-60,spec/crig_spec.cr:432-445	Agent-builder description setter is ported for completion-client helper parity.
src/agent/builder.rs::func::dynamic_context	func	partial	src/crig/agent.cr:92-97,spec/crig_spec.cr:750-769	Agent-builder dynamic context is ported as stored callable search sources wrapping Crystal vector indexes instead of Rust dyn trait objects.
src/agent/builder.rs::func::dynamic_tools	func	partial	src/crig/agent.cr:145-150,spec/crig_spec.cr:792-817	Agent-builder dynamic tools are ported as stored callable vector-index wrappers plus explicit `ToolDefinition` arrays instead of Rust `ToolSet`/dyn tool integration.
src/agent/builder.rs::func::max_tokens	func	partial	src/crig/agent.cr:84-86,spec/crig_spec.cr:448-461	Agent-builder max-tokens setter is ported on the lightweight Crystal builder.
src/agent/builder.rs::func::name	func	partial	src/crig/agent.cr:54-56,spec/crig_spec.cr:471-476	Agent-builder name setter is ported for dynamic completion-agent construction.
src/agent/builder.rs::func::new	func	partial	src/crig/agent.cr:37-50,spec/crig_spec.cr:432-445,spec/crig_spec.cr:515-523	Agent-builder creation from a completion model is ported via Crystal `initialize`.
src/agent/builder.rs::func::output_schema_raw	func	partial	src/crig/agent.cr:78-80	Agent-builder raw output-schema setter is ported as direct JSON schema assignment.
src/agent/builder.rs::func::preamble	func	partial	src/crig/agent.cr:54-56,spec/crig_spec.cr:430-438	Agent-builder preamble setter is ported for completion-client helper parity.
src/agent/builder.rs::func::rmcp_tool	func	missing	-	auto-generated
src/agent/builder.rs::func::rmcp_tools	func	missing	-	auto-generated
src/agent/builder.rs::func::temperature	func	partial	src/crig/agent.cr:68-70,spec/crig_spec.cr:430-438	Agent-builder temperature setter is ported for completion-client helper parity.
src/agent/builder.rs::func::tool	func	partial	src/crig/agent.cr:117-119,spec/crig_spec.cr:771-790	Agent-builder static tool insertion is ported by storing `Completion::ToolDefinition` values directly; Rust tool trait/object integration is not mirrored.
src/agent/builder.rs::func::tool_choice	func	partial	src/crig/agent.cr:73-75	Agent-builder tool-choice setter is ported, though the broader agent runtime/tool stack is still missing.
src/agent/builder.rs::func::tool_server_handle	func	partial	src/crig/agent.cr,spec/crig_spec.cr	Agent-builder tool-server handle assignment is ported, and the handle now supports a lightweight callable resolver for streamed tool tests; full Rust tool-server/runtime integration remains missing.
src/agent/builder.rs::func::tools	func	partial	src/crig/agent.cr:121-123,spec/crig_spec.cr:771-790	Agent-builder bulk static tool insertion is ported by appending `Completion::ToolDefinition` values directly.
