# source_api_id	status	crystal_refs	notes
examples/enum_dispatch.rs::func::agent	missing	-	baseline
examples/enum_dispatch.rs::func::new	missing	-	baseline
examples/enum_dispatch.rs::method::ProviderRegistry.new	missing	-	baseline
examples/gemini_extractor.rs::struct::FooString	missing	-	baseline
examples/multi_extract.rs::struct::Names	missing	-	baseline
examples/multi_extract.rs::struct::Sentiment	missing	-	baseline
examples/multi_extract.rs::struct::Topics	missing	-	baseline
examples/rmcp.rs::func::new	missing	-	baseline
examples/rmcp.rs::method::Counter.new	missing	-	baseline
examples/rmcp.rs::struct::Counter	missing	-	baseline
examples/rmcp.rs::struct::StructRequest	missing	-	baseline
src/agent/builder.rs::func::additional_params	missing	-	baseline
src/agent/builder.rs::func::append_preamble	missing	-	baseline
src/agent/builder.rs::func::build	missing	-	baseline
src/agent/builder.rs::func::context	missing	-	baseline
src/agent/builder.rs::func::default_max_turns	missing	-	baseline
src/agent/builder.rs::func::description	missing	-	baseline
src/agent/builder.rs::func::dynamic_context	missing	-	baseline
src/agent/builder.rs::func::dynamic_tools	missing	-	baseline
src/agent/builder.rs::func::max_tokens	missing	-	baseline
src/agent/builder.rs::func::name	missing	-	baseline
src/agent/builder.rs::func::new	missing	-	baseline
src/agent/builder.rs::func::output_schema_raw	missing	-	baseline
src/agent/builder.rs::func::preamble	missing	-	baseline
src/agent/builder.rs::func::rmcp_tool	missing	-	baseline
src/agent/builder.rs::func::rmcp_tools	missing	-	baseline
src/agent/builder.rs::func::temperature	missing	-	baseline
src/agent/builder.rs::func::tool	missing	-	baseline
src/agent/builder.rs::func::tool_choice	missing	-	baseline
src/agent/builder.rs::func::tool_server_handle	missing	-	baseline
src/agent/builder.rs::func::tools	missing	-	baseline
src/agent/builder.rs::func::without_preamble	missing	-	baseline
src/agent/builder.rs::method::AgentBuilder.build	missing	-	baseline
src/agent/builder.rs::method::AgentBuilder.name	missing	-	baseline
src/agent/builder.rs::method::AgentBuilder.new	missing	-	baseline
src/agent/builder.rs::method::AgentBuilder.tool	missing	-	baseline
src/agent/builder.rs::method::AgentBuilder.tool_server_handle	missing	-	baseline
src/agent/builder.rs::struct::AgentBuilder	missing	-	baseline
src/agent/builder.rs::struct::NoToolConfig	missing	-	baseline
src/agent/builder.rs::struct::WithBuilderTools	missing	-	baseline
src/agent/builder.rs::struct::WithToolServerHandle	missing	-	baseline
src/agent/completion.rs::struct::Agent	missing	-	baseline
src/agent/completion.rs::type::DynamicContextStore	missing	-	baseline
src/agent/prompt_request/hooks.rs::enum::HookAction	missing	-	baseline
src/agent/prompt_request/hooks.rs::enum::ToolCallHookAction	missing	-	baseline
src/agent/prompt_request/hooks.rs::func::cont	missing	-	baseline
src/agent/prompt_request/hooks.rs::func::skip	missing	-	baseline
src/agent/prompt_request/hooks.rs::func::terminate	missing	-	baseline
src/agent/prompt_request/hooks.rs::method::HookAction.cont	missing	-	baseline
src/agent/prompt_request/hooks.rs::method::ToolCallHookAction.cont	missing	-	baseline
src/agent/prompt_request/hooks.rs::trait::PromptHook	missing	-	baseline
src/agent/prompt_request/mod.rs::func::extended_details	missing	-	baseline
src/agent/prompt_request/mod.rs::func::from_agent	missing	-	baseline
src/agent/prompt_request/mod.rs::func::max_turns	missing	-	baseline
src/agent/prompt_request/mod.rs::func::new	missing	-	baseline
src/agent/prompt_request/mod.rs::func::with_history	missing	-	baseline
src/agent/prompt_request/mod.rs::func::with_messages	missing	-	baseline
src/agent/prompt_request/mod.rs::func::with_tool_concurrency	missing	-	baseline
src/agent/prompt_request/mod.rs::method::PromptRequest.extended_details	missing	-	baseline
src/agent/prompt_request/mod.rs::method::PromptRequest.from_agent	missing	-	baseline
src/agent/prompt_request/mod.rs::method::PromptResponse.new	missing	-	baseline
src/agent/prompt_request/mod.rs::method::TypedPromptRequest.extended_details	missing	-	baseline
src/agent/prompt_request/mod.rs::method::TypedPromptRequest.from_agent	missing	-	baseline
src/agent/prompt_request/mod.rs::method::TypedPromptResponse.new	missing	-	baseline
src/agent/prompt_request/mod.rs::struct::Extended	missing	-	baseline
src/agent/prompt_request/mod.rs::struct::PromptRequest	missing	-	baseline
src/agent/prompt_request/mod.rs::struct::PromptResponse	missing	-	baseline
src/agent/prompt_request/mod.rs::struct::Standard	missing	-	baseline
src/agent/prompt_request/mod.rs::struct::TypedPromptRequest	missing	-	baseline
src/agent/prompt_request/mod.rs::struct::TypedPromptResponse	missing	-	baseline
src/agent/prompt_request/mod.rs::trait::PromptType	missing	-	baseline
src/agent/prompt_request/streaming.rs::enum::MultiTurnStreamItem	missing	-	baseline
src/agent/prompt_request/streaming.rs::enum::StreamingError	missing	-	baseline
src/agent/prompt_request/streaming.rs::func::empty	missing	-	baseline
src/agent/prompt_request/streaming.rs::func::final_response	missing	-	baseline
src/agent/prompt_request/streaming.rs::func::final_response_with_history	missing	-	baseline
src/agent/prompt_request/streaming.rs::func::history	missing	-	baseline
src/agent/prompt_request/streaming.rs::func::multi_turn	missing	-	baseline
src/agent/prompt_request/streaming.rs::func::new	missing	-	baseline
src/agent/prompt_request/streaming.rs::func::response	missing	-	baseline
src/agent/prompt_request/streaming.rs::func::usage	missing	-	baseline
src/agent/prompt_request/streaming.rs::func::with_history	missing	-	baseline
src/agent/prompt_request/streaming.rs::method::FinalResponse.empty	missing	-	baseline
src/agent/prompt_request/streaming.rs::method::StreamingPromptRequest.new	missing	-	baseline
src/agent/prompt_request/streaming.rs::struct::FinalResponse	missing	-	baseline
src/agent/prompt_request/streaming.rs::struct::StreamingPromptRequest	missing	-	baseline
src/agent/prompt_request/streaming.rs::type::StreamingResult	missing	-	baseline
src/agent/tool.rs::struct::AgentToolArgs	missing	-	baseline
src/audio_generation.rs::enum::AudioGenerationError	missing	-	baseline
src/audio_generation.rs::func::additional_params	missing	-	baseline
src/audio_generation.rs::func::build	missing	-	baseline
src/audio_generation.rs::func::new	missing	-	baseline
src/audio_generation.rs::func::speed	missing	-	baseline
src/audio_generation.rs::func::text	missing	-	baseline
src/audio_generation.rs::func::voice	missing	-	baseline
src/audio_generation.rs::method::AudioGenerationRequestBuilder.new	missing	-	baseline
src/audio_generation.rs::struct::AudioGenerationRequest	missing	-	baseline
src/audio_generation.rs::struct::AudioGenerationRequestBuilder	missing	-	baseline
src/audio_generation.rs::struct::AudioGenerationResponse	missing	-	baseline
src/audio_generation.rs::trait::AudioGeneration	missing	-	baseline
src/audio_generation.rs::trait::AudioGenerationModel	missing	-	baseline
src/audio_generation.rs::trait::AudioGenerationModelDyn	missing	-	baseline
src/client/audio_generation.rs::struct::AudioGenerationModelHandle	missing	-	baseline
src/client/audio_generation.rs::trait::AudioGenerationClient	missing	-	baseline
src/client/audio_generation.rs::trait::AudioGenerationClientDyn	missing	-	baseline
src/client/builder.rs::enum::DefaultProviders	missing	-	baseline
src/client/builder.rs::enum::Error	missing	-	baseline
src/client/builder.rs::func::as_audio_generation	missing	-	baseline
src/client/builder.rs::func::as_completion	missing	-	baseline
src/client/builder.rs::func::as_embedding	missing	-	baseline
src/client/builder.rs::func::as_image_generation	missing	-	baseline
src/client/builder.rs::func::as_transcription	missing	-	baseline
src/client/builder.rs::func::new	missing	-	baseline
src/client/builder.rs::method::DynClientBuilder.new	missing	-	baseline
src/client/builder.rs::struct::AnyClient	missing	-	baseline
src/client/builder.rs::struct::DynClientBuilder	missing	-	baseline
src/client/builder.rs::struct::ProviderFactory	missing	-	baseline
src/client/completion.rs::func::new	missing	-	baseline
src/client/completion.rs::method::CompletionModelHandle.new	missing	-	baseline
src/client/completion.rs::struct::CompletionModelHandle	missing	-	baseline
src/client/completion.rs::trait::CompletionClient	missing	-	baseline
src/client/completion.rs::trait::CompletionClientDyn	missing	-	baseline
src/client/embeddings.rs::trait::EmbeddingsClient	missing	-	baseline
src/client/embeddings.rs::trait::EmbeddingsClientDyn	missing	-	baseline
src/client/image_generation.rs::struct::ImageGenerationModelHandle	missing	-	baseline
src/client/image_generation.rs::trait::ImageGenerationClient	missing	-	baseline
src/client/image_generation.rs::trait::ImageGenerationClientDyn	missing	-	baseline
src/client/mod.rs::enum::ClientBuilderError	missing	-	baseline
src/client/mod.rs::enum::Transport	missing	-	baseline
src/client/mod.rs::func::base_url	missing	-	baseline
src/client/mod.rs::func::build	missing	-	baseline
src/client/mod.rs::func::builder	missing	-	baseline
src/client/mod.rs::func::ext	missing	-	baseline
src/client/mod.rs::func::headers	missing	-	baseline
src/client/mod.rs::func::http_headers	missing	-	baseline
src/client/mod.rs::func::new	missing	-	baseline
src/client/mod.rs::method::Client.base_url	missing	-	baseline
src/client/mod.rs::method::Client.builder	missing	-	baseline
src/client/mod.rs::method::Client.new	missing	-	baseline
src/client/mod.rs::method::ClientBuilder.build	missing	-	baseline
src/client/mod.rs::method::ClientBuilder.ext	missing	-	baseline
src/client/mod.rs::struct::BearerAuth	missing	-	baseline
src/client/mod.rs::struct::Capable	missing	-	baseline
src/client/mod.rs::struct::Client	missing	-	baseline
src/client/mod.rs::struct::ClientBuilder	missing	-	baseline
src/client/mod.rs::struct::FinalCompletionResponse	missing	-	baseline
src/client/mod.rs::struct::NeedsApiKey	missing	-	baseline
src/client/mod.rs::struct::Nothing	missing	-	baseline
src/client/mod.rs::trait::ApiKey	missing	-	baseline
src/client/mod.rs::trait::Capabilities	missing	-	baseline
src/client/mod.rs::trait::Capability	missing	-	baseline
src/client/mod.rs::trait::DebugExt	missing	-	baseline
src/client/mod.rs::trait::Provider	missing	-	baseline
src/client/mod.rs::trait::ProviderBuilder	missing	-	baseline
src/client/mod.rs::trait::ProviderClient	missing	-	baseline
src/client/model_listing.rs::trait::ModelLister	missing	-	baseline
src/client/model_listing.rs::trait::ModelListingClient	missing	-	baseline
src/client/transcription.rs::struct::TranscriptionModelHandle	missing	-	baseline
src/client/transcription.rs::trait::TranscriptionClient	missing	-	baseline
src/client/transcription.rs::trait::TranscriptionClientDyn	missing	-	baseline
src/client/verify.rs::enum::VerifyError	missing	-	baseline
src/client/verify.rs::trait::VerifyClient	missing	-	baseline
src/client/verify.rs::trait::VerifyClientDyn	missing	-	baseline
src/completion/message.rs::enum::AssistantContent	missing	-	baseline
src/completion/message.rs::enum::AudioMediaType	missing	-	baseline
src/completion/message.rs::enum::ContentFormat	missing	-	baseline
src/completion/message.rs::enum::DocumentMediaType	missing	-	baseline
src/completion/message.rs::enum::DocumentSourceKind	missing	-	baseline
src/completion/message.rs::enum::ImageDetail	missing	-	baseline
src/completion/message.rs::enum::ImageMediaType	missing	-	baseline
src/completion/message.rs::enum::MediaType	missing	-	baseline
src/completion/message.rs::enum::Message	missing	-	baseline
src/completion/message.rs::enum::MessageError	missing	-	baseline
src/completion/message.rs::enum::ReasoningContent	missing	-	baseline
src/completion/message.rs::enum::ToolChoice	missing	-	baseline
src/completion/message.rs::enum::ToolResultContent	missing	-	baseline
src/completion/message.rs::enum::UserContent	missing	-	baseline
src/completion/message.rs::enum::VideoMediaType	missing	-	baseline
src/completion/message.rs::func::assistant	missing	-	baseline
src/completion/message.rs::func::assistant_with_id	missing	-	baseline
src/completion/message.rs::func::audio	missing	-	baseline
src/completion/message.rs::func::audio_raw	missing	-	baseline
src/completion/message.rs::func::audio_url	missing	-	baseline
src/completion/message.rs::func::base64	missing	-	baseline
src/completion/message.rs::func::display_text	missing	-	baseline
src/completion/message.rs::func::document	missing	-	baseline
src/completion/message.rs::func::document_raw	missing	-	baseline
src/completion/message.rs::func::document_url	missing	-	baseline
src/completion/message.rs::func::encrypted	missing	-	baseline
src/completion/message.rs::func::encrypted_content	missing	-	baseline
src/completion/message.rs::func::first_signature	missing	-	baseline
src/completion/message.rs::func::first_text	missing	-	baseline
src/completion/message.rs::func::from_tool_output	missing	-	baseline
src/completion/message.rs::func::image_base64	missing	-	baseline
src/completion/message.rs::func::image_raw	missing	-	baseline
src/completion/message.rs::func::image_url	missing	-	baseline
src/completion/message.rs::func::is_code	missing	-	baseline
src/completion/message.rs::func::multi	missing	-	baseline
src/completion/message.rs::func::new	missing	-	baseline
src/completion/message.rs::func::new_with_signature	missing	-	baseline
src/completion/message.rs::func::optional_id	missing	-	baseline
src/completion/message.rs::func::raw	missing	-	baseline
src/completion/message.rs::func::reasoning	missing	-	baseline
src/completion/message.rs::func::redacted	missing	-	baseline
src/completion/message.rs::func::string	missing	-	baseline
src/completion/message.rs::func::summaries	missing	-	baseline
src/completion/message.rs::func::text	missing	-	baseline
src/completion/message.rs::func::tool_call	missing	-	baseline
src/completion/message.rs::func::tool_call_with_call_id	missing	-	baseline
src/completion/message.rs::func::tool_result	missing	-	baseline
src/completion/message.rs::func::tool_result_with_call_id	missing	-	baseline
src/completion/message.rs::func::try_into_inner	missing	-	baseline
src/completion/message.rs::func::try_into_url	missing	-	baseline
src/completion/message.rs::func::unknown	missing	-	baseline
src/completion/message.rs::func::url	missing	-	baseline
src/completion/message.rs::func::user	missing	-	baseline
src/completion/message.rs::func::with_additional_params	missing	-	baseline
src/completion/message.rs::func::with_call_id	missing	-	baseline
src/completion/message.rs::func::with_id	missing	-	baseline
src/completion/message.rs::func::with_signature	missing	-	baseline
src/completion/message.rs::method::AssistantContent.text	missing	-	baseline
src/completion/message.rs::method::DocumentMediaType.is_code	missing	-	baseline
src/completion/message.rs::method::DocumentSourceKind.url	missing	-	baseline
src/completion/message.rs::method::Image.try_into_url	missing	-	baseline
src/completion/message.rs::method::Reasoning.new	missing	-	baseline
src/completion/message.rs::method::Text.text	missing	-	baseline
src/completion/message.rs::method::ToolCall.new	missing	-	baseline
src/completion/message.rs::method::ToolFunction.new	missing	-	baseline
src/completion/message.rs::method::ToolResultContent.text	missing	-	baseline
src/completion/message.rs::method::UserContent.text	missing	-	baseline
src/completion/message.rs::struct::Audio	missing	-	baseline
src/completion/message.rs::struct::Document	missing	-	baseline
src/completion/message.rs::struct::Image	missing	-	baseline
src/completion/message.rs::struct::Reasoning	missing	-	baseline
src/completion/message.rs::struct::Text	missing	-	baseline
src/completion/message.rs::struct::ToolCall	missing	-	baseline
src/completion/message.rs::struct::ToolFunction	missing	-	baseline
src/completion/message.rs::struct::ToolResult	missing	-	baseline
src/completion/message.rs::struct::Video	missing	-	baseline
src/completion/message.rs::trait::ConvertMessage	missing	-	baseline
src/completion/message.rs::trait::MimeType	missing	-	baseline
src/completion/request.rs::enum::CompletionError	missing	-	baseline
src/completion/request.rs::enum::PromptError	missing	-	baseline
src/completion/request.rs::enum::StructuredOutputError	missing	-	baseline
src/completion/request.rs::func::additional_params	missing	-	baseline
src/completion/request.rs::func::additional_params_opt	missing	-	baseline
src/completion/request.rs::func::build	missing	-	baseline
src/completion/request.rs::func::document	missing	-	baseline
src/completion/request.rs::func::documents	missing	-	baseline
src/completion/request.rs::func::max_tokens	missing	-	baseline
src/completion/request.rs::func::max_tokens_opt	missing	-	baseline
src/completion/request.rs::func::message	missing	-	baseline
src/completion/request.rs::func::messages	missing	-	baseline
src/completion/request.rs::func::model	missing	-	baseline
src/completion/request.rs::func::model_opt	missing	-	baseline
src/completion/request.rs::func::new	missing	-	baseline
src/completion/request.rs::func::normalized_documents	missing	-	baseline
src/completion/request.rs::func::output_schema	missing	-	baseline
src/completion/request.rs::func::output_schema_name	missing	-	baseline
src/completion/request.rs::func::output_schema_opt	missing	-	baseline
src/completion/request.rs::func::preamble	missing	-	baseline
src/completion/request.rs::func::temperature	missing	-	baseline
src/completion/request.rs::func::temperature_opt	missing	-	baseline
src/completion/request.rs::func::tool	missing	-	baseline
src/completion/request.rs::func::tool_choice	missing	-	baseline
src/completion/request.rs::func::tools	missing	-	baseline
src/completion/request.rs::func::without_preamble	missing	-	baseline
src/completion/request.rs::method::CompletionRequest.output_schema_name	missing	-	baseline
src/completion/request.rs::method::CompletionRequestBuilder.new	missing	-	baseline
src/completion/request.rs::method::Usage.new	missing	-	baseline
src/completion/request.rs::struct::CompletionRequest	missing	-	baseline
src/completion/request.rs::struct::CompletionRequestBuilder	missing	-	baseline
src/completion/request.rs::struct::CompletionResponse	missing	-	baseline
src/completion/request.rs::struct::Document	missing	-	baseline
src/completion/request.rs::struct::ToolDefinition	missing	-	baseline
src/completion/request.rs::struct::Usage	missing	-	baseline
src/completion/request.rs::trait::Chat	missing	-	baseline
src/completion/request.rs::trait::Completion	missing	-	baseline
src/completion/request.rs::trait::CompletionModel	missing	-	baseline
src/completion/request.rs::trait::CompletionModelDyn	missing	-	baseline
src/completion/request.rs::trait::GetTokenUsage	missing	-	baseline
